,pct,crime,year,count,crime_category,pct_2
201,46,GRAND LARCENY                         ,2000,364.0,major,
202,46,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,410.0,major,
203,47,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,29.0,major,
204,47,RAPE                                  ,2000,57.0,major,
205,47,ROBBERY                               ,2000,541.0,major,
206,47,FELONY ASSAULT                        ,2000,509.0,major,
207,47,BURGLARY                              ,2000,689.0,major,
208,47,GRAND LARCENY                         ,2000,328.0,major,
209,47,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,799.0,major,
210,48,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,17.0,major,
211,48,RAPE                                  ,2000,53.0,major,
212,48,ROBBERY                               ,2000,437.0,major,
213,48,FELONY ASSAULT                        ,2000,513.0,major,
214,48,BURGLARY                              ,2000,620.0,major,
215,48,GRAND LARCENY                         ,2000,277.0,major,
216,48,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,322.0,major,
217,49,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,13.0,major,
218,49,RAPE                                  ,2000,18.0,major,
219,49,ROBBERY                               ,2000,392.0,major,
220,49,FELONY ASSAULT                        ,2000,297.0,major,
221,49,BURGLARY                              ,2000,584.0,major,
222,49,GRAND LARCENY                         ,2000,476.0,major,
223,49,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,791.0,major,
224,50,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,5.0,major,
225,50,RAPE                                  ,2000,19.0,major,
226,50,ROBBERY                               ,2000,204.0,major,
227,50,FELONY ASSAULT                        ,2000,182.0,major,
228,50,BURGLARY                              ,2000,409.0,major,
229,50,GRAND LARCENY                         ,2000,370.0,major,
230,50,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,557.0,major,
231,52,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,25.0,major,
232,52,RAPE                                  ,2000,51.0,major,
233,52,ROBBERY                               ,2000,741.0,major,
234,52,FELONY ASSAULT                        ,2000,621.0,major,
235,52,BURGLARY                              ,2000,1071.0,major,
236,52,GRAND LARCENY                         ,2000,505.0,major,
237,52,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,645.0,major,
238,60,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,8.0,major,
239,60,RAPE                                  ,2000,26.0,major,
240,60,ROBBERY                               ,2000,536.0,major,
241,60,FELONY ASSAULT                        ,2000,400.0,major,
242,60,BURGLARY                              ,2000,445.0,major,
243,60,GRAND LARCENY                         ,2000,575.0,major,
244,60,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,393.0,major,
245,61,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,6.0,major,
246,61,RAPE                                  ,2000,19.0,major,
247,61,ROBBERY                               ,2000,521.0,major,
248,61,FELONY ASSAULT                        ,2000,302.0,major,
249,61,BURGLARY                              ,2000,959.0,major,
250,61,GRAND LARCENY                         ,2000,882.0,major,
251,61,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,896.0,major,
252,62,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,5.0,major,
253,62,RAPE                                  ,2000,22.0,major,
254,62,ROBBERY                               ,2000,352.0,major,
255,62,FELONY ASSAULT                        ,2000,253.0,major,
256,62,BURGLARY                              ,2000,769.0,major,
257,62,GRAND LARCENY                         ,2000,504.0,major,
258,62,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,612.0,major,
259,63,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,3.0,major,
260,63,RAPE                                  ,2000,12.0,major,
261,63,ROBBERY                               ,2000,353.0,major,
262,63,FELONY ASSAULT                        ,2000,177.0,major,
263,63,BURGLARY                              ,2000,399.0,major,
264,63,GRAND LARCENY                         ,2000,545.0,major,
265,63,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,704.0,major,
266,66,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,3.0,major,
267,66,RAPE                                  ,2000,19.0,major,
268,66,ROBBERY                               ,2000,349.0,major,
269,66,FELONY ASSAULT                        ,2000,211.0,major,
270,66,BURGLARY                              ,2000,663.0,major,
271,66,GRAND LARCENY                         ,2000,396.0,major,
272,66,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,560.0,major,
273,67,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,26.0,major,
274,67,RAPE                                  ,2000,71.0,major,
275,67,ROBBERY                               ,2000,743.0,major,
276,67,FELONY ASSAULT                        ,2000,905.0,major,
277,67,BURGLARY                              ,2000,851.0,major,
278,67,GRAND LARCENY                         ,2000,561.0,major,
279,67,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,829.0,major,
280,68,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,2.0,major,
281,68,RAPE                                  ,2000,13.0,major,
282,68,ROBBERY                               ,2000,233.0,major,
283,68,FELONY ASSAULT                        ,2000,218.0,major,
284,68,BURGLARY                              ,2000,479.0,major,
285,68,GRAND LARCENY                         ,2000,333.0,major,
286,68,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,523.0,major,
287,69,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,8.0,major,
288,69,RAPE                                  ,2000,28.0,major,
289,69,ROBBERY                               ,2000,481.0,major,
290,69,FELONY ASSAULT                        ,2000,332.0,major,
291,69,BURGLARY                              ,2000,431.0,major,
292,69,GRAND LARCENY                         ,2000,394.0,major,
293,69,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,577.0,major,
294,70,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,13.0,major,
295,70,RAPE                                  ,2000,51.0,major,
296,70,ROBBERY                               ,2000,1004.0,major,
297,70,FELONY ASSAULT                        ,2000,593.0,major,
298,70,BURGLARY                              ,2000,1005.0,major,
299,70,GRAND LARCENY                         ,2000,877.0,major,
300,70,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,882.0,major,
301,71,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,12.0,major,
302,71,RAPE                                  ,2000,30.0,major,
303,71,ROBBERY                               ,2000,674.0,major,
304,71,FELONY ASSAULT                        ,2000,589.0,major,
305,71,BURGLARY                              ,2000,690.0,major,
306,71,GRAND LARCENY                         ,2000,589.0,major,
307,71,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,457.0,major,
308,72,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,8.0,major,
309,72,RAPE                                  ,2000,28.0,major,
310,72,ROBBERY                               ,2000,500.0,major,
311,72,FELONY ASSAULT                        ,2000,328.0,major,
312,72,BURGLARY                              ,2000,561.0,major,
313,72,GRAND LARCENY                         ,2000,328.0,major,
314,72,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,404.0,major,
315,73,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,13.0,major,
316,73,RAPE                                  ,2000,56.0,major,
317,73,ROBBERY                               ,2000,700.0,major,
318,73,FELONY ASSAULT                        ,2000,711.0,major,
319,73,BURGLARY                              ,2000,468.0,major,
320,73,GRAND LARCENY                         ,2000,404.0,major,
321,73,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,362.0,major,
322,75,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,40.0,major,
323,75,RAPE                                  ,2000,102.0,major,
324,75,ROBBERY                               ,2000,1169.0,major,
325,75,FELONY ASSAULT                        ,2000,1061.0,major,
326,75,BURGLARY                              ,2000,763.0,major,
327,75,GRAND LARCENY                         ,2000,688.0,major,
328,75,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,952.0,major,
329,76,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,4.0,major,
330,76,RAPE                                  ,2000,13.0,major,
331,76,ROBBERY                               ,2000,181.0,major,
332,76,FELONY ASSAULT                        ,2000,158.0,major,
333,76,BURGLARY                              ,2000,192.0,major,
334,76,GRAND LARCENY                         ,2000,181.0,major,
335,76,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,149.0,major,
336,77,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,18.0,major,
337,77,RAPE                                  ,2000,58.0,major,
338,77,ROBBERY                               ,2000,658.0,major,
339,77,FELONY ASSAULT                        ,2000,539.0,major,
340,77,BURGLARY                              ,2000,585.0,major,
341,77,GRAND LARCENY                         ,2000,373.0,major,
342,77,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,300.0,major,
343,78,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,1.0,major,
344,78,RAPE                                  ,2000,11.0,major,
345,78,ROBBERY                               ,2000,369.0,major,
346,78,FELONY ASSAULT                        ,2000,157.0,major,
347,78,BURGLARY                              ,2000,442.0,major,
348,78,GRAND LARCENY                         ,2000,406.0,major,
349,78,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,335.0,major,
350,79,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,12.0,major,
351,79,RAPE                                  ,2000,53.0,major,
352,79,ROBBERY                               ,2000,693.0,major,
