,dbn,score,year
307,01M450,0.71,2012-2013
308,01M450,0.8617234,2014-2015
309,01M450,0.81362724,2014-2015
310,01M450,0.89378756,2015-2016
311,01M450,0.7875751,2015-2016
312,01M450,0.6272545,2016-2017
313,01M450,0.78356713,2016-2017
314,01M450,0.50300604,2017-2018
315,01M450,0.71543086,2017-2018
316,01M450,0.751503,2018-2019
317,01M450,0.7995992,2018-2019
318,01M450,0.7715431,2019-2020
319,01M450,0.743487,2020-2021
320,01M450,0.71543086,2021-2022
321,01M450,0.6873748,2022-2023
322,01M450,0.9739479,2022-2023
323,01M450,0.65731466,2023-2024
324,01M450,0.92785573,2023-2024
325,01M509,0.349,2006-2007
326,01M509,0.36,2006-2007
327,01M509,,2007-2008
328,01M509,0.526,2007-2008
329,01M509,0.661,2008-2009
330,01M509,0.626,2009-2010
331,01M509,0.505,2011-2012
332,01M509,0.318,2012-2013
333,01M509,0.53306615,2014-2015
334,01M509,0.50901806,2015-2016
335,01M509,0.5791583,2016-2017
336,01M509,0.54108214,2017-2018
337,01M509,0.65531063,2018-2019
338,01M509,0.65531063,2019-2020
339,01M509,0.65531063,2020-2021
340,01M509,0.65531063,2021-2022
341,01M539,0.8474,2006-2007
342,01M539,0.761,2007-2008
343,01M539,0.787,2008-2009
344,01M539,0.672,2009-2010
345,01M539,0.82,2011-2012
346,01M539,0.795,2012-2013
347,01M539,0.93787575,2014-2015
348,01M539,0.8817635,2014-2015
349,01M539,0.91382766,2015-2016
350,01M539,0.88376755,2015-2016
351,01M539,0.9398798,2016-2017
352,01M539,0.8476954,2016-2017
353,01M539,0.91783565,2017-2018
354,01M539,0.8416834,2017-2018
355,01M539,0.91382766,2018-2019
356,01M539,0.93386775,2018-2019
357,01M539,0.9504008,2019-2020
358,01M539,0.96693385,2020-2021
359,01M539,0.9834669,2021-2022
360,01M539,1.0,2022-2023
361,01M539,0.92785573,2022-2023
362,01M539,0.9298597,2023-2024
363,01M539,0.9519038,2023-2024
364,01M696,0.578,2006-2007
365,01M696,0.578,2007-2008
366,01M696,0.662,2008-2009
367,01M696,0.609,2009-2010
368,01M696,0.674,2011-2012
369,01M696,0.711,2012-2013
370,01M696,0.8016032,2014-2015
371,01M696,0.9498998,2015-2016
372,01M696,0.88376755,2016-2017
373,01M696,0.8617234,2017-2018
374,01M696,0.8997996,2018-2019
375,01M696,0.9043086,2019-2020
376,01M696,0.90881765,2020-2021
377,01M696,0.9133267,2021-2022
378,01M696,0.91783565,2022-2023
379,01M696,0.94188374,2023-2024
380,01M839,0.7122,2006-2007
381,01M839,0.824,2007-2008
382,01M839,0.8577154,2014-2015
383,01M839,0.7955912,2015-2016
384,01M839,0.73547095,2016-2017
385,01M839,0.75551105,2017-2018
386,01M839,0.8016032,2018-2019
387,01M839,0.7750501,2019-2020
388,01M839,0.748497,2020-2021
389,01M839,0.7219439,2021-2022
390,01M839,0.69539076,2022-2023
391,01M839,0.71142286,2023-2024
392,02M001,0.66,2008-2009
393,02M001,0.412,2009-2010
394,02M001,0.429,2010-2011
395,02M001,0.483,2011-2012
396,02M001,0.537,2012-2013
397,02M001,0.8416834,2014-2015
398,02M001,0.83567137,2015-2016
399,02M001,0.8116233,2016-2017
400,02M001,0.7174349,2017-2018
401,02M001,0.749499,2018-2019
402,02M001,0.69138277,2019-2020
403,02M001,0.6332665,2020-2021
404,02M001,0.5751503,2021-2022
405,02M001,0.51703405,2022-2023
406,02M001,0.53707415,2023-2024
407,02M002,0.941,2008-2009
408,02M002,0.875,2009-2010
409,02M002,0.838,2010-2011
410,02M002,0.72,2011-2012
411,02M002,0.802,2012-2013
412,02M002,0.7755511,2014-2015
413,02M002,0.9659319,2015-2016
414,02M002,0.91182363,2016-2017
415,02M002,0.81362724,2017-2018
416,02M002,0.9498998,2018-2019
417,02M002,0.90631264,2019-2020
418,02M002,0.86272544,2020-2021
419,02M002,0.8191383,2021-2022
420,02M002,0.7755511,2022-2023
421,02M002,0.7334669,2023-2024
422,02M003,0.878,2008-2009
423,02M003,0.478,2009-2010
424,02M003,0.3,2010-2011
425,02M003,0.481,2011-2012
426,02M003,0.665,2012-2013
427,02M003,0.6432866,2014-2015
428,02M003,0.90781564,2015-2016
429,02M003,0.6472946,2016-2017
430,02M003,0.58717436,2017-2018
431,02M003,0.7234469,2018-2019
432,02M003,0.756513,2019-2020
433,02M003,0.78957915,2020-2021
434,02M003,0.8226453,2021-2022
435,02M003,0.8557114,2022-2023
436,02M003,0.80961925,2023-2024
437,02M006,0.762,2008-2009
438,02M006,0.456,2009-2010
439,02M006,0.616,2010-2011
440,02M006,0.588,2011-2012
441,02M006,0.761,2012-2013
442,02M006,0.9318637,2014-2015
443,02M006,0.8717435,2015-2016
444,02M006,0.8456914,2016-2017
445,02M006,0.8777555,2017-2018
446,02M006,0.86372745,2018-2019
447,02M006,0.8977956,2019-2020
448,02M006,0.9318637,2020-2021
449,02M006,0.9659319,2021-2022
450,02M006,1.0,2022-2023
451,02M006,0.9298597,2023-2024
452,02M011,0.994,2008-2009
453,02M011,0.74,2009-2010
454,02M011,0.571,2010-2011
455,02M011,0.611,2011-2012
456,02M011,0.659,2012-2013
457,02M011,0.751503,2014-2015
458,02M011,0.8016032,2015-2016
459,02M011,0.6432866,2016-2017
460,02M011,0.73947895,2017-2018
461,02M011,0.76953906,2018-2019
462,02M011,0.7985972,2019-2020
463,02M011,0.8276553,2020-2021
464,02M011,0.8567134,2021-2022
465,02M011,0.8857716,2022-2023
466,02M011,0.90781564,2023-2024
467,02M033,0.98,2008-2009
468,02M033,0.622,2009-2010
469,02M033,0.548,2010-2011
470,02M033,0.683,2011-2012
471,02M033,0.666,2012-2013
472,02M033,0.7034068,2014-2015
473,02M033,0.7975952,2015-2016
474,02M033,0.63727456,2016-2017
475,02M033,0.58316636,2017-2018
476,02M033,0.53707415,2018-2019
477,02M033,0.5991984,2019-2020
478,02M033,0.66132265,2020-2021
479,02M033,0.7234469,2021-2022
480,02M033,0.78557116,2022-2023
481,02M033,0.6132265,2023-2024
482,02M040,0.796,2008-2009
483,02M040,0.637,2009-2010
484,02M040,0.597,2010-2011
485,02M040,0.643,2011-2012
486,02M040,0.687,2012-2013
487,02M040,0.94789577,2014-2015
488,02M040,0.96392787,2015-2016
489,02M040,0.93386775,2016-2017
490,02M040,0.86372745,2017-2018
491,02M040,0.8116233,2018-2019
492,02M040,0.8567134,2019-2020
493,02M040,0.9018036,2020-2021
494,02M040,0.9468938,2021-2022
495,02M040,0.99198395,2022-2023
496,02M040,0.91382766,2023-2024
497,02M041,0.843,2008-2009
498,02M041,0.582,2009-2010
499,02M041,0.586,2010-2011
500,02M041,0.529,2011-2012
501,02M041,0.643,2012-2013
502,02M041,0.9018036,2014-2015
503,02M041,0.8917836,2015-2016
504,02M041,0.8116233,2016-2017
505,02M041,0.8617234,2017-2018
506,02M041,0.79358715,2018-2019
507,02M041,0.83817637,2019-2020
508,02M041,0.88276553,2020-2021
509,02M041,0.9273547,2021-2022
510,02M041,0.9719439,2022-2023
511,02M041,0.9498998,2023-2024
512,02M042,0.981,2008-2009
513,02M042,0.826,2009-2010
514,02M042,0.792,2010-2011
515,02M042,0.862,2011-2012
516,02M042,0.919,2012-2013
517,02M042,0.9298597,2014-2015
518,02M042,0.98797596,2015-2016
519,02M042,0.83967936,2016-2017
520,02M042,0.8617234,2017-2018
521,02M042,0.9238477,2018-2019
522,02M042,0.9218437,2019-2020
523,02M042,0.9198397,2020-2021
524,02M042,0.91783565,2021-2022
525,02M042,0.9158317,2022-2023
526,02M042,0.85971946,2023-2024
527,02M047,-0.00447,2006-2007
528,02M047,0.2453,2006-2007
529,02M047,0.537,2007-2008
530,02M047,0.558,2007-2008
531,02M047,0.718,2008-2009
532,02M047,0.766,2009-2010
533,02M047,0.588,2011-2012
534,02M047,0.755,2012-2013
535,02M047,0.77955914,2014-2015
536,02M047,0.66533065,2015-2016
537,02M047,0.753507,2016-2017
538,02M047,0.7995992,2017-2018
539,02M047,0.8957916,2018-2019
540,02M047,0.88527054,2019-2020
541,02M047,0.8747495,2020-2021
542,02M047,0.8642284,2021-2022
543,02M047,0.85370743,2022-2023
544,02M047,0.7975952,2023-2024
545,02M051,0.787,2008-2009
546,02M051,0.572,2009-2010
547,02M051,0.533,2010-2011
548,02M051,0.43,2011-2012
549,02M051,0.672,2012-2013
550,02M051,0.8176353,2014-2015
551,02M051,0.76152307,2015-2016
552,02M051,0.9699399,2016-2017
553,02M051,0.5150301,2017-2018
554,02M051,0.5390782,2018-2019
555,02M051,0.5766533,2019-2020
556,02M051,0.6142284,2020-2021
557,02M051,0.6518036,2021-2022
558,02M051,0.68937874,2022-2023
559,02M051,0.56713426,2023-2024
560,02M059,0.808,2008-2009
561,02M059,0.438,2009-2010
562,02M059,0.665,2010-2011
563,02M059,0.522,2011-2012
564,02M059,0.659,2012-2013
565,02M059,0.8917836,2014-2015
566,02M059,0.88977957,2015-2016
567,02M059,0.8056112,2016-2017
568,02M059,0.8316633,2017-2018
569,02M059,0.8957916,2018-2019
570,02M059,0.8947896,2019-2020
571,02M059,0.89378756,2020-2021
572,02M059,0.89278555,2021-2022
573,02M059,0.8917836,2022-2023
574,02M059,0.91182363,2023-2024
575,02M077,0.744,2008-2009
576,02M077,0.763,2009-2010
577,02M077,0.792,2010-2011
578,02M077,0.601,2011-2012
579,02M077,0.908,2012-2013
580,02M077,0.89378756,2014-2015
581,02M077,0.98396796,2015-2016
582,02M077,0.995992,2016-2017
583,02M077,0.9659319,2017-2018
584,02M077,0.9719439,2018-2019
585,02M077,0.9789579,2019-2020
586,02M077,0.9859719,2020-2021
587,02M077,0.99298596,2021-2022
588,02M077,1.0,2022-2023
589,02M077,0.91182363,2023-2024
590,02M089,0.881,2008-2009
591,02M089,0.476,2009-2010
592,02M089,0.426,2010-2011
593,02M089,0.532,2011-2012
594,02M089,0.525,2012-2013
595,02M089,0.8917836,2014-2015
596,02M089,0.9398798,2015-2016
597,02M089,0.8236473,2016-2017
598,02M089,0.86372745,2017-2018
599,02M089,0.8657315,2018-2019
600,02M089,0.8992986,2019-2020
601,02M089,0.93286574,2020-2021
602,02M089,0.96643287,2021-2022
603,02M089,1.0,2022-2023
604,02M089,0.94388777,2023-2024
605,02M104,0.5342,2006-2007
606,02M104,0.534,2007-2008
607,02M104,0.8496994,2014-2015
608,02M104,0.9158317,2015-2016
609,02M104,0.7755511,2016-2017
610,02M104,0.6873748,2017-2018
611,02M104,0.8316633,2018-2019
612,02M104,0.84018034,2019-2020
613,02M104,0.8486974,2020-2021
614,02M104,0.85721445,2021-2022
615,02M104,0.8657315,2022-2023
616,02M104,0.8977956,2023-2024
617,02M111,0.7815631,2014-2015
618,02M111,0.7675351,2015-2016
619,02M111,0.7334669,2016-2017
