,community_board,year,rent
263,Bronx Community Board 5,2020,1095.0691
264,Manhattan Community Board 3,2024,1095.0431
265,Brooklyn Community Board 18,2020,1332.1445
266,Manhattan Community Board 5,2020,2028.9114
267,Brooklyn Community Board 17,2024,1222.4775
268,Brooklyn Community Board 1,2020,1586.9646
269,Brooklyn Community Board 13,2024,948.55865
270,Bronx Community Board 6,2024,605.74347
271,Bronx Community Board 8,2024,1331.7255
272,Brooklyn Community Board 3,2024,965.4181
273,Queens Community Board 6,2021,1733.0
274,Brooklyn Community Board 8,2021,1604.0
275,Queens Community Board 4,2021,1616.0
276,Manhattan Community Board 1,2021,1246.0
277,Queens Community Board 14,2021,1263.0
278,Bronx Community Board 5,2021,1144.0
279,Bronx Community Board 2,2021,342.0
280,Manhattan Community Board 1,2019,2879.2734
281,Manhattan Community Board 4,2019,2052.2705
282,Brooklyn Community Board 10,2019,1638.2435
283,Queens Community Board 7,2019,1582.5496
284,Bronx Community Board 2,2019,895.30695
285,Manhattan Community Board 7,2017,1969.2244
286,Manhattan Community Board 6,2017,2597.3296
287,Queens Community Board 6,2017,1740.6245
288,Brooklyn Community Board 5,2017,1215.9335
289,Bronx Community Board 2,2017,927.4622
290,Staten Island Community Board 2,2016,1271.92
291,Brooklyn Community Board 1,2016,1812.4307
292,Brooklyn Community Board 15,2016,1334.0732
293,Queens Community Board 4,2016,1426.1931
294,Bronx Community Board 7,2016,1183.1299
295,Staten Island Community Board 3,2015,1189.1448
296,Queens Community Board 6,2015,1650.2188
297,Queens Community Board 10,2015,1437.0702
298,Queens Community Board 2,2015,1624.4166
299,Manhattan Community Board 12,2015,1254.2112
300,Brooklyn Community Board 5,2015,1146.515
301,Bronx Community Board 5,2015,1090.4233
302,Manhattan Community Board 2,2014,2246.4973
303,Brooklyn Community Board 2,2014,1733.1727
304,Staten Island Community Board 1,2014,1086.1815
305,Brooklyn Community Board 10,2014,1356.8844
306,Brooklyn Community Board 7,2014,1366.9937
307,Manhattan Community Board 12,2014,1205.2458
308,Manhattan Community Board 3,2014,1067.0862
